arm,n,format_compliant,format_rate,grounded,grounding_rate,quoted_nothing,quotes,exact_quotes,exact_quote_rate,quotes_per_interpretation,median_words,n_train,authors,heldout_perplexity
ablation_n200,152,152,1.0,22,0.14473684210526316,0,423,170,0.40189125295508277,2.7828947368421053,177,177,13,5.93102061757418
ablation_n500,152,152,1.0,30,0.19736842105263158,0,420,228,0.5428571428571428,2.763157894736842,168,444,21,5.52020189823125
ablation_n1000,152,152,1.0,39,0.2565789473684211,0,446,250,0.5605381165919282,2.9342105263157894,176,896,28,5.2925374147279
lora_r8,152,152,1.0,47,0.3092105263157895,0,441,267,0.6054421768707483,2.901315789473684,165,2128,85,4.921104119618921
