arm,n,format_compliant,format_rate,grounded,grounding_rate,quoted_nothing,quotes,exact_quotes,exact_quote_rate,quotes_per_interpretation,median_words
template,152,152,1.0,0,0.0,152,0,0,,0.0,67
base_zero,152,1,0.006578947368421052,3,0.019736842105263157,75,132,18,0.13636363636363635,0.868421052631579,59
base_few,152,126,0.8289473684210527,23,0.1513157894736842,58,241,88,0.3651452282157676,1.5855263157894737,184
lora_r8,152,152,1.0,47,0.3092105263157895,0,441,267,0.6054421768707483,2.901315789473684,165
lora_r16,152,152,1.0,31,0.20394736842105263,0,470,269,0.5723404255319149,3.0921052631578947,173
